url,label
https://gegonota.news,0
outlookstarterssl.com,1
ccr_2.tripod.com/bamboo/,1
www.ragcha.com/mujaan/,1
https://parking.money,0
https://airsoftzone.com,0
https://qrisqu.com,0
https://obuwiesalomon.pl,1
https://bahamabucks.com,0
www.phrozensmoke.com/projects/icewmcp/,1
pure-virility.com,1
https://quitaragora.godaddysites.com/,1
https://for-good.net,0
https://breakingnewsbrief.com,0
https://centurybr.com.br,0
https://urlspro.com/k-f,1
https://kyods.com,0
https://hearingcaresolutions.com,0
www2.webmagic.com/abuse.com/,1
http://mdkvk.byethost18.com/?i=1,1
www.neubert.net/FSOIntro.html,1
appie-assist.com,1
https://acmbtrc.com,0
https://pro-websolutions.com,0
https://arigalvanizados.com.ar/?ss=on&amp;ea=test@test&amp;session=b02197543fd3e5a74862b40156606b53b02197543fd3e5a74862b40156606b53,1
https://fgt371.cn,0
https://upstanding.com,0
https://truecorp.co.th,0
https://daidoanket.vn,0
http://pastehtml.com/view/bekaliai1.html,1
www.springer.fr/uk/index.php?langue=uk,1
https://bperfectcosmetics.com,0
https://gehnaindia.com,0
https://boston.com,0
https://salvatore.com,0
https://nasuhai.co.jp,0
https://jazzgroove.org,0
http://habbomoedasgratisfuncionamesmo.blogspot.com/,1
https://cizgipass11.online,0
https://taskcards.de,0
https://share.google,0
https://fctemis.org,0
csrc.nist.gov/pki/,1
http://www.nwjwdxt.tk/tb/submit-tb.asp,1
https://wallpapers.ai,0
https://gunsnroses.com,0
https://jobitus.com,0
www.lantronix.com/resources/networking.html,1
https://rgb4nzpvm.com,0
manage.apple.com.webobjectsd5dbc98dcc983a7028bd82d1a47549.divinityhousingprojects.com,1
https://fastserver007.com,0
https://m-food.ru,0
https://personal-loansza.co.za,0
https://kiacenter.com,0
alfredsonsir.ga,1
https://gra.gov.sg,0
www.veen.com/jeff/archives/000733.html,1
https://grandluxuryhotels.com,0
https://nivapixel.com,0
https://octanemarketing.com,0
www.ultratechnology.com/misc.html,1
https://psi.com,0
https://onetrader.online,0
https://canvaschamp.in,0
wellsfairgo.com,1
https://9xmovies.ngo,0
